dcterms:title,dcterms:creator,dcterms:source,dcterms:identifier,bibo:affirmedBy,dcterms:date,curation:tag,dcterms:alternative,dcterms:type,dcterms:identifier,dcterms:modified
大板埒,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_461.jpg,臺灣總督府,明治三十七年調製,461,大板埒,Image,461,大正十年十月訂正
後灣子,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_456.jpg,臺灣總督府,明治三十七年調製,456,後灣仔,Image,456,大正十年十月訂正
楓港,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_455.jpg,臺灣總督府,明治三十七年調製,455,楓港,Image,455,大正十年十月訂正
枋山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_454.jpg,臺灣總督府,明治三十七年調製,454,枋山,Image,454,大正十年十月訂正
恆春,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_452.jpg,臺灣總督府,明治三十七年調製,452,恆春,Image,452,大正十年十月訂正
車城,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_451.jpg,臺灣總督府,明治三十七年調製,451,車城,Image,451,大正十年十月訂正
頂茄芝來社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_450.jpg,臺灣總督府,明治三十七年調製,450,頂茄芝來社,Image,450,大正十年十月訂正
搭加寮社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_449.jpg,臺灣總督府,明治三十七年調製,449,搭加社,Image,449,大正十年十月訂正
滿州,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_447.jpg,臺灣總督府,明治三十七年調製,447,蚊蟀,Image,447,大正十年十月訂正
九棚,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_446.jpg,臺灣總督府,明治三十七年調製,446,九棚,Image,446,大正十年十月訂正
牡丹社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_445.jpg,臺灣總督府,明治三十七年調製,445,牡丹社,Image,445,大正十年十月訂正
觀音鼻,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_444.jpg,臺灣總督府,明治三十七年調製,444,觀音鼻,Image,444,大正十年十月訂正
關帝廟,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_394.jpg,臺灣總督府,明治三十七年調製,394,關帝廟,Image,394,大正十年十月訂正
旗山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_390.jpg,臺灣總督府,明治三十七年調製,390,蕃薯,Image,390,大正十年十月訂正
